Date,Levels
01.01.1999 00:00:00   ,324.14
01.02.1999 00:00:00   ,324.13
01.03.1999 00:00:00   ,324.12
01.04.1999 00:00:00   ,324.2
01.05.1999 00:00:00   ,324.29
01.06.1999 00:00:00   ,324.12
01.07.1999 00:00:00   ,324.03
01.08.1999 00:00:00   ,324.09
01.09.1999 00:00:00   ,324.1
01.10.1999 00:00:00   ,324.03
01.11.1999 00:00:00   ,323.93
01.12.1999 00:00:00   ,324.09
01.01.2000 00:00:00   ,324.03
01.02.2000 00:00:00   ,324.33
01.03.2000 00:00:00   ,324.22
01.04.2000 00:00:00   ,324.22
01.05.2000 00:00:00   ,324.0
01.06.2000 00:00:00   ,323.8
01.07.2000 00:00:00   ,323.58
01.08.2000 00:00:00   ,323.46
01.09.2000 00:00:00   ,323.27
01.10.2000 00:00:00   ,323.26
01.11.2000 00:00:00   ,323.76
01.12.2000 00:00:00   ,324.02
01.01.2001 00:00:00   ,324.23
01.02.2001 00:00:00   ,324.16
01.03.2001 00:00:00   ,324.08
01.04.2001 00:00:00   ,324.05
01.05.2001 00:00:00   ,323.95
01.06.2001 00:00:00   ,323.78
01.07.2001 00:00:00   ,323.58
01.08.2001 00:00:00   ,323.34
01.09.2001 00:00:00   ,323.12
01.10.2001 00:00:00   ,323.02
01.11.2001 00:00:00   ,322.99
01.12.2001 00:00:00   ,322.96
01.01.2002 00:00:00   ,322.95
01.02.2002 00:00:00   ,322.96
01.03.2002 00:00:00   ,323.0
01.04.2002 00:00:00   ,323.01
01.05.2002 00:00:00   ,323.02
01.06.2002 00:00:00   ,323.0
01.07.2002 00:00:00   ,323.0
01.08.2002 00:00:00   ,323.1
01.09.2002 00:00:00   ,323.01
01.10.2002 00:00:00   ,323.01
01.11.2002 00:00:00   ,323.08
01.12.2002 00:00:00   ,323.37
01.01.2003 00:00:00   ,323.51
01.02.2003 00:00:00   ,323.63
01.03.2003 00:00:00   ,323.62
01.04.2003 00:00:00   ,323.65
01.05.2003 00:00:00   ,323.62
01.06.2003 00:00:00   ,323.46
01.07.2003 00:00:00   ,323.23
01.08.2003 00:00:00   ,323.1
01.09.2003 00:00:00   ,322.99
01.10.2003 00:00:00   ,323.01
01.11.2003 00:00:00   ,322.98
01.12.2003 00:00:00   ,322.97
01.01.2004 00:00:00   ,323.08
01.02.2004 00:00:00   ,323.16
01.03.2004 00:00:00   ,323.33
01.04.2004 00:00:00   ,323.59
01.05.2004 00:00:00   ,323.63
01.06.2004 00:00:00   ,324.02
01.07.2004 00:00:00   ,324.02
01.08.2004 00:00:00   ,324.06
01.09.2004 00:00:00   ,323.85
01.10.2004 00:00:00   ,323.74
01.11.2004 00:00:00   ,323.8
01.12.2004 00:00:00   ,323.85
01.01.2005 00:00:00   ,323.94
01.02.2005 00:00:00   ,323.89
01.03.2005 00:00:00   ,324.03
01.04.2005 00:00:00   ,324.09
01.05.2005 00:00:00   ,323.97
01.06.2005 00:00:00   ,323.76
01.07.2005 00:00:00   ,323.69
01.08.2005 00:00:00   ,323.74
01.09.2005 00:00:00   ,323.77
01.10.2005 00:00:00   ,323.76
01.11.2005 00:00:00   ,323.74
01.12.2005 00:00:00   ,323.89
01.01.2006 00:00:00   ,324.0
01.02.2006 00:00:00   ,324.01
01.03.2006 00:00:00   ,324.17
01.04.2006 00:00:00   ,324.12
01.05.2006 00:00:00   ,324.32
01.06.2006 00:00:00   ,324.21
01.07.2006 00:00:00   ,323.95
01.08.2006 00:00:00   ,323.86
01.09.2006 00:00:00   ,323.71
01.10.2006 00:00:00   ,323.6
01.11.2006 00:00:00   ,323.6
01.12.2006 00:00:00   ,323.62
01.01.2007 00:00:00   ,323.66
01.02.2007 00:00:00   ,323.84
01.03.2007 00:00:00   ,324.01
01.04.2007 00:00:00   ,324.05
01.05.2007 00:00:00   ,323.91
01.06.2007 00:00:00   ,323.77
01.07.2007 00:00:00   ,323.59
01.08.2007 00:00:00   ,323.33
01.09.2007 00:00:00   ,323.37
01.10.2007 00:00:00   ,323.64
01.11.2007 00:00:00   ,323.82
01.12.2007 00:00:00   ,323.95
01.01.2008 00:00:00   ,323.95
01.02.2008 00:00:00   ,323.97
01.03.2008 00:00:00   ,323.94
01.04.2008 00:00:00   ,323.87
01.05.2008 00:00:00   ,323.81
01.06.2008 00:00:00   ,323.9
01.07.2008 00:00:00   ,324.16
01.08.2008 00:00:00   ,324.15
01.09.2008 00:00:00   ,323.98
01.10.2008 00:00:00   ,323.87
01.11.2008 00:00:00   ,323.91
01.12.2008 00:00:00   ,
01.01.2009 00:00:00   ,
01.02.2009 00:00:00   ,324.45
01.03.2009 00:00:00   ,324.26
01.04.2009 00:00:00   ,324.14
01.05.2009 00:00:00   ,324.2
01.06.2009 00:00:00   ,324.29
01.07.2009 00:00:00   ,324.34
01.08.2009 00:00:00   ,324.04
01.09.2009 00:00:00   ,324.06
01.10.2009 00:00:00   ,324.0
01.11.2009 00:00:00   ,324.22
01.12.2009 00:00:00   ,324.25
01.01.2010 00:00:00   ,324.26
01.02.2010 00:00:00   ,324.15
01.03.2010 00:00:00   ,324.25
01.04.2010 00:00:00   ,324.09
01.05.2010 00:00:00   ,323.98
01.06.2010 00:00:00   ,324.05
01.07.2010 00:00:00   ,323.88
01.08.2010 00:00:00   ,323.87
01.09.2010 00:00:00   ,324.28
01.10.2010 00:00:00   ,324.42
01.11.2010 00:00:00   ,324.41
01.12.2010 00:00:00   ,324.36
01.01.2011 00:00:00   ,324.29
01.02.2011 00:00:00   ,324.14
01.03.2011 00:00:00   ,324.11
01.04.2011 00:00:00   ,324.09
01.05.2011 00:00:00   ,324.05
01.06.2011 00:00:00   ,323.99
01.07.2011 00:00:00   ,323.89
01.08.2011 00:00:00   ,323.91
01.09.2011 00:00:00   ,323.74
01.10.2011 00:00:00   ,323.64
01.11.2011 00:00:00   ,323.57
01.12.2011 00:00:00   ,323.55
01.01.2012 00:00:00   ,323.51
01.02.2012 00:00:00   ,323.49
01.03.2012 00:00:00   ,323.45
01.04.2012 00:00:00   ,323.5
01.05.2012 00:00:00   ,323.9
01.06.2012 00:00:00   ,323.78
01.07.2012 00:00:00   ,323.99
01.08.2012 00:00:00   ,324.08
01.09.2012 00:00:00   ,323.84
01.10.2012 00:00:00   ,323.79
01.11.2012 00:00:00   ,324.35
01.12.2012 00:00:00   ,324.18
01.01.2013 00:00:00   ,324.24
01.02.2013 00:00:00   ,324.45
01.03.2013 00:00:00   ,324.5
01.04.2013 00:00:00   ,324.37
01.05.2013 00:00:00   ,324.3
01.06.2013 00:00:00   ,324.24
01.07.2013 00:00:00   ,323.96
01.08.2013 00:00:00   ,323.57
01.09.2013 00:00:00   ,323.38
01.10.2013 00:00:00   ,323.34
01.11.2013 00:00:00   ,323.57
01.12.2013 00:00:00   ,323.79
01.01.2014 00:00:00   ,324.01
01.02.2014 00:00:00   ,324.54
01.03.2014 00:00:00   ,324.22
01.04.2014 00:00:00   ,324.02
01.05.2014 00:00:00   ,324.42
01.06.2014 00:00:00   ,324.15
01.07.2014 00:00:00   ,324.12
01.08.2014 00:00:00   ,324.46
01.09.2014 00:00:00   ,324.73
01.10.2014 00:00:00   ,324.43
01.11.2014 00:00:00   ,324.44
01.12.2014 00:00:00   ,324.53
01.01.2015 00:00:00   ,324.43
01.02.2015 00:00:00   ,324.34
01.03.2015 00:00:00   ,324.22
01.04.2015 00:00:00   ,324.05
01.05.2015 00:00:00   ,324.12
01.06.2015 00:00:00   ,324.02
01.07.2015 00:00:00   ,323.8
01.08.2015 00:00:00   ,323.52
01.09.2015 00:00:00   ,323.25
01.10.2015 00:00:00   ,323.26
01.11.2015 00:00:00   ,323.31
01.12.2015 00:00:00   ,323.25
01.01.2016 00:00:00   ,323.26
01.02.2016 00:00:00   ,323.46
01.03.2016 00:00:00   ,323.74
01.04.2016 00:00:00   ,323.75
01.05.2016 00:00:00   ,323.87
01.06.2016 00:00:00   ,324.25
01.07.2016 00:00:00   ,323.95
01.08.2016 00:00:00   ,324.18
01.09.2016 00:00:00   ,324.14
01.10.2016 00:00:00   ,323.87
01.11.2016 00:00:00   ,324.23
01.12.2016 00:00:00   ,324.05
01.01.2017 00:00:00   ,323.97
01.02.2017 00:00:00   ,323.95
01.03.2017 00:00:00   ,324.02
01.04.2017 00:00:00   ,323.91
01.05.2017 00:00:00   ,323.9
01.06.2017 00:00:00   ,323.85
01.07.2017 00:00:00   ,323.71
01.08.2017 00:00:00   ,323.66
01.09.2017 00:00:00   ,323.56
01.10.2017 00:00:00   ,323.5
01.11.2017 00:00:00   ,323.43
01.12.2017 00:00:00   ,323.48
01.01.2018 00:00:00   ,323.68
01.02.2018 00:00:00   ,323.9
01.03.2018 00:00:00   ,323.96
01.04.2018 00:00:00   ,324.09
01.05.2018 00:00:00   ,324.17
01.06.2018 00:00:00   ,324.15
01.07.2018 00:00:00   ,323.83
01.08.2018 00:00:00   ,323.56
01.09.2018 00:00:00   ,323.47
01.10.2018 00:00:00   ,323.37
01.11.2018 00:00:00   ,323.36
01.12.2018 00:00:00   ,323.42
01.01.2019 00:00:00   ,323.41
01.02.2019 00:00:00   ,323.42
01.03.2019 00:00:00   ,323.42
01.04.2019 00:00:00   ,323.37
01.05.2019 00:00:00   ,323.26
01.06.2019 00:00:00   ,323.19
01.07.2019 00:00:00   ,323.15
01.08.2019 00:00:00   ,323.17
01.09.2019 00:00:00   ,323.51
01.10.2019 00:00:00   ,323.42
01.11.2019 00:00:00   ,323.69
01.12.2019 00:00:00   ,323.91
01.01.2020 00:00:00   ,323.92
01.02.2020 00:00:00   ,323.85
01.03.2020 00:00:00   ,323.87
01.04.2020 00:00:00   ,323.8
01.05.2020 00:00:00   ,323.71
01.06.2020 00:00:00   ,323.9
01.07.2020 00:00:00   ,324.22
01.08.2020 00:00:00   ,324.17
01.09.2020 00:00:00   ,324.3
01.10.2020 00:00:00   ,324.64
01.11.2020 00:00:00   ,324.24
01.12.2020 00:00:00   ,324.43
01.01.2021 00:00:00   ,324.4
01.02.2021 00:00:00   ,324.35
01.03.2021 00:00:00   ,324.12
01.04.2021 00:00:00   ,324.0
01.05.2021 00:00:00   ,323.92
01.06.2021 00:00:00   ,323.85
01.07.2021 00:00:00   ,323.7
01.08.2021 00:00:00   ,323.83
01.09.2021 00:00:00   ,323.82
01.10.2021 00:00:00   ,323.62
01.11.2021 00:00:00   ,323.5
01.12.2021 00:00:00   ,323.66
01.01.2022 00:00:00   ,
